Country_or_Region,Year,Indicator,Value,Unit,Urbanization,Income_Quintile
Afghanistan,2000,UHC Service Coverage Index,30,0-100 scale,Total,All
Afghanistan,2000,UHC Service Coverage Index,38,0-100 scale,Total,All
Afghanistan,2000,UHC Service Coverage Index,25,0-100 scale,Total,All
Afghanistan,2000,UHC Service Coverage Index,22,0-100 scale,Total,All
Afghanistan,2000,UHC Service Coverage Index,41,0-100 scale,Total,All
Afghanistan,2001,UHC Service Coverage Index,31,0-100 scale,Total,All
Afghanistan,2001,UHC Service Coverage Index,40,0-100 scale,Total,All
Afghanistan,2001,UHC Service Coverage Index,25,0-100 scale,Total,All
Afghanistan,2001,UHC Service Coverage Index,22,0-100 scale,Total,All
Afghanistan,2001,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2002,UHC Service Coverage Index,32,0-100 scale,Total,All
Afghanistan,2002,UHC Service Coverage Index,41,0-100 scale,Total,All
Afghanistan,2002,UHC Service Coverage Index,25,0-100 scale,Total,All
Afghanistan,2002,UHC Service Coverage Index,24,0-100 scale,Total,All
Afghanistan,2002,UHC Service Coverage Index,43,0-100 scale,Total,All
Afghanistan,2003,UHC Service Coverage Index,33,0-100 scale,Total,All
Afghanistan,2003,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2003,UHC Service Coverage Index,25,0-100 scale,Total,All
Afghanistan,2003,UHC Service Coverage Index,25,0-100 scale,Total,All
Afghanistan,2003,UHC Service Coverage Index,44,0-100 scale,Total,All
Afghanistan,2004,UHC Service Coverage Index,34,0-100 scale,Total,All
Afghanistan,2004,UHC Service Coverage Index,44,0-100 scale,Total,All
Afghanistan,2004,UHC Service Coverage Index,25,0-100 scale,Total,All
Afghanistan,2004,UHC Service Coverage Index,27,0-100 scale,Total,All
Afghanistan,2004,UHC Service Coverage Index,45,0-100 scale,Total,All
Afghanistan,2005,UHC Service Coverage Index,35,0-100 scale,Total,All
Afghanistan,2005,UHC Service Coverage Index,45,0-100 scale,Total,All
Afghanistan,2005,UHC Service Coverage Index,24,0-100 scale,Total,All
Afghanistan,2005,UHC Service Coverage Index,28,0-100 scale,Total,All
Afghanistan,2005,UHC Service Coverage Index,46,0-100 scale,Total,All
Afghanistan,2006,UHC Service Coverage Index,35,0-100 scale,Total,All
Afghanistan,2006,UHC Service Coverage Index,46,0-100 scale,Total,All
Afghanistan,2006,UHC Service Coverage Index,23,0-100 scale,Total,All
Afghanistan,2006,UHC Service Coverage Index,29,0-100 scale,Total,All
Afghanistan,2006,UHC Service Coverage Index,47,0-100 scale,Total,All
Afghanistan,2007,Catastrophic Spending (More than 10% of household budget),4.84,Percentage of population,Total,All
Afghanistan,2007,Catastrophic Spending (More than 25% of household budget),0.07,Percentage of population,Total,All
Afghanistan,2007,Financial Hardship,95.71,Percentage of population,Total,Q1 (Poorest)
Afghanistan,2007,Financial Hardship,23.56,Percentage of population,Total,Q2
Afghanistan,2007,Financial Hardship,1.9,Percentage of population,Total,Q3
Afghanistan,2007,Financial Hardship,0.49,Percentage of population,Total,Q4
Afghanistan,2007,Financial Hardship,0.13,Percentage of population,Total,Q5 (Richest)
Afghanistan,2007,Financial Hardship,24.36,Percentage of population,Total,All
Afghanistan,2007,Financial Hardship,29.42,Percentage of population,Rural area,All
Afghanistan,2007,Financial Hardship,5.52,Percentage of population,Urban area,All
Afghanistan,2007,Financial Hardship,6.52,Percentage of population,Total,All
